Symbol|Security Name|Market Category|Reg SHO Threshold Flag|Rule 3210|Filler
REDI|REMOTE DYNAMICS INC|U|Y|N|
RGRP|ROO GROUP INC NEW|U|Y|N|
RLYGF|RALLY ENERGY CORP (F)|u|N|Y|
RMTR|RAMTRON INTERNATIONAL CORP|G|Y|N|
RPSDW|RHAPSODY ACQUSITION CORP WARRA|U|Y|N|
RSUR|Remote Surveillance Technologi|u|Y|N|
RVXCF|RESVERLOGIX CORP|u|N|Y|
SBMRY|SABMILLER PLC SPONSORED ADR|u|N|Y|
SEHO|SENSE HOLDINGS INC|U|Y|N|
SEKEY|SEIKO EPSON CORP UNSPONSORED A|u|N|Y|
SFLK|SAFLINK CORP-NEW|S|Y|N|
SGAMY|SEGA SAMMY HLDGS INC SPONS ADR|u|N|Y|
SGRNF|SERENGETI RESOURCES INC|u|N|Y|
SHNDU|SHINE MEDIA ACQUISITON CORP UT|U|Y|N|
SMFJY|SUMITOMO MITSUI FINL GROUP INC|u|N|Y|
SMKG|SMART CARD MARKETING SYSTEMS I|u|Y|N|
SNLAY|SINO LTD SPON ADR|u|N|Y|
SONT|SONTRA MED CORP NEW|u|Y|N|
SPBU|Spare Backup, Inc. Common Stoc|U|Y|N|
SPKFF|SPARK NETWORKS PLC SPONSORED R|u|N|Y|
SPWR|SUNPOWER CORPORATION CL A|G|Y|N|
SXRFF|SXR URANIUM ONE INC|u|N|Y|
TELK|TELIK, INC|G|Y|N|
TISCY|TAISEI CORP ADR|u|N|Y|
TNVA|TERRA NOVA ACQUISITION CORP|U|Y|N|
TRLG|TRUE RELIGION APPAREL INC|G|Y|N|
TUIJF|TRUE ENERGY TRUST TR UT (CANAD|u|N|Y|
TXLA|TEXOLA ENERGY CORP|U|Y|N|
UAEYF|Urasia Energy Ltd Common Share|u|N|Y|
UAMNF|URAMIN INC REG SHS (BRITISH VI|u|N|Y|
UBHI|UBID.COM HOLDINGS INC|U|Y|N|
UNRG|UNITED ENERGY CORP NEV|U|Y|N|
URNAF|URBANA CORP (F)|u|N|Y|
USSE|U.S. Sustainable Energy Corp.|u|N|Y|
USWF|US WIND FARMING INC|u|Y|N|
VNAA|VEIN ASSOCIATES OF AMERICA, IN|u|N|Y|
VYGO|VOYAGER PETROLEUM, INC COM|U|Y|N|
WBKA|Waterbank of America (USA) Inc|U|Y|N|
WBMD|WEBMD HEALTH CORP CL A|Q|Y|N|
WIRE|ENCORE WIRE CORP|Q|Y|N|
WITM|WITS BASIN PRECIOUS MINERALS I|U|Y|N|
WLFFF|WOLFDEN RESOURCES INC ORD SHS|u|N|Y|
WLSA|WIRELESS AGE COMMUNICATIONS IN|U|Y|N|
WSDT|WISDOMTREE INVESTMENTS, INC.|u|N|Y|
WWSI|WORLDWIDE STRATEGIES INC|u|Y|N|
XDSL|MPHASE TECHNOLOGIES INC|U|Y|N|
XTLB|XTL BIOPHARMACEUTICALS AMERICA|G|Y|N|
ZOLT|ZOLTEK COMPANIES INC|G|Y|N|
ZVUE|HANDHELD ENTERTAINMENT INC COM|S|Y|N|
20070125232501
